;;;Interaction parameters;;;;;;
Shot;General comments;Energy before compression (J) - calib k = 0,016231;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC);
303;;6,92753;-8,6;1,3;1,95;;;230;
304;;6,92744;-8,6;1,3;1,95;;;240;
305;;6,8159;-8,6;1,3;1,95;;;220;
306;;6,96697;-8,6;1,3;1,95;;;160;
307;;6,79377;-8,6;1,3;1,95;;;180;
308;;6,82641;-8,6;1,3;1,95;;;160;
309;;6,82982;-8,6;1,3;1,95;;;200;
310;;6,8733;-8,6;1,3;1,95;;;210;
311;;;-8,6;1,3;1,95;;;150;
312;;6,93643;-8,6;1,3;1,95;;;190;
313;;6,96182;-8,6;1,3;1,95;;;100;
314;;7,0039;-8,6;1,3;1,95;;;180;
315;;7,11107;-8,6;1,3;1,95;;;160;
316;;6,77355;-8,6;1,3;1,95;;;180;
317;;6,85603;-8,6;1,3;1,95;;;190;
318;;6,74829;-8,6;1,3;1,95;;;170;
319;;6,98603;-8,6;1,3;1,95;;;220;
320;;6,91085;-8,6;1,3;1,95;;;180;
321;;6,74942;-8,6;1,3;1,95;;;220;
322;;6,99254;-8,6;1,3;1,95;;;240;
323;;6,82124;-8,6;1,3;1,95;;;180;
324;;6,9501;-8,6;1,3;1,95;;;190;
325;;7,09289;-8,6;1,3;1,95;;;190;
326;;6,79974;-8,6;1,3;1,95;;;190;
327;;6,89296;-8,6;1,3;1,95;;;140;
328;;6,81664;-8,6;1,3;1,95;;;120;
329;;6,86896;-8,6;1,3;1,95;;;200;
330;;6,89461;-8,6;1,3;1,95;;;210;
331;;6,9458;-8,6;1,3;1,95;;;180;
332;;6,74119;-8,6;1,3;1,95;;;180;
333;;6,78699;-8,6;1,3;1,95;;;180;
334;;6,85311;-8,6;1,3;1,95;;;180;
335;;6,83501;-8,6;1,3;1,95;;;180;
336;;6,74342;-8,6;1,3;1,95;;;140;
337;;6,92305;-8,6;1,3;1,95;;;180;
338;;6,83463;-8,6;1,3;1,95;;;160;
339;;6,79055;-8,6;1,3;1,95;;;150;
340;;6,93732;-8,6;1,3;1,95;;;220;
341;;7,05278;-8,6;1,3;1,95;;;210;
342;;6,78465;-8,6;1,3;1,95;;;180;
343;;6,89089;-8,6;1,3;1,95;;;220;
344;;6,81046;-8,6;1,3;1,95;;;210;
345;;6,92461;-8,6;1,3;1,95;;;140;
346;END;;;;;;;;
